,Quarter,Tm,Detail,SFO,PHI
0,1.0,49ers,Bruce Gossett 31 yard field goal,3,0
1,2.0,49ers,Ted Kwalick 3 yard pass from John Brodie (Bruce Gossett kick),10,0
2,2.0,49ers,Ted Kwalick 42 yard pass from John Brodie (Bruce Gossett kick),17,0
3,3.0,49ers,Vic Washington 15 yard pass from John Brodie (Bruce Gossett kick),24,0
4,3.0,Eagles,Happy Feller 50 yard field goal,24,3
5,4.0,49ers,Ken Willard 1 yard rush (Bruce Gossett kick),31,3
