,Quarter,Tm,Detail,WAS,PHI
0,1.0,Redskins,Curt Knight 9 yard field goal,3,0
1,1.0,Eagles,Harold Carmichael 10 yard pass from John Reaves (Tom Dempsey kick),3,7
2,2.0,Redskins,Charlie Harraway 1 yard rush (Curt Knight kick),10,7
3,3.0,Redskins,Curt Knight 14 yard field goal,13,7
4,4.0,Redskins,Curt Knight 46 yard field goal,16,7
5,4.0,Redskins,Charley Taylor 2 yard pass from Billy Kilmer (Curt Knight kick),23,7
