,Quarter,Tm,Detail,AKR,FRN
0,2.0,Yellow Jackets,Butch Spagna fumble recovery in end zone (Russ Stein kick),0,7
1,2.0,Yellow Jackets,Tex Hamer 8 yard rush,0,13
2,2.0,Yellow Jackets,Tex Hamer 27 yard rush (Russ Stein kick),0,20
3,4.0,Yellow Jackets,Jim Welsh 44 yard field goal,0,23
