,Quarter,Tm,Detail,TAM,NOR
0,1.0,Buccaneers,Adger Armstrong 2 yard pass from Jack Thompson (Obed Ariri kick),7,0
1,2.0,Saints,Tyrone Anthony 2 yard rush (Morten Andersen kick),7,7
2,2.0,Buccaneers,Obed Ariri 48 yard field goal,10,7
3,3.0,Buccaneers,Obed Ariri 40 yard field goal,13,7
4,3.0,Saints,Morten Andersen 23 yard field goal,13,10
5,4.0,Saints,Hokie Gajan 8 yard rush (Morten Andersen kick),13,17
