,Quarter,Tm,Detail,RAI,CIN
0,1,Raiders,Tim Brown 33 yard pass from Jay Schroeder (Jeff Jaeger kick),7,0
1,1,Bengals,Harold Green 20 yard rush (Jim Breech kick),7,7
2,2,Raiders,Sam Graddy 37 yard pass from Jay Schroeder (Jeff Jaeger kick),14,7
3,2,Bengals,Derrick Fenner 9 yard pass from Boomer Esiason (Jim Breech kick),14,14
4,3,Bengals,Eric Ball 1 yard rush (Jim Breech kick),14,21
5,4,Raiders,Marcus Allen 1 yard rush (Jeff Jaeger kick),21,21
6,OT,Bengals,Jim Breech 34 yard field goal,21,24
