,Quarter,Tm,Detail,MIN,SFO
0,1.0,49ers,John Brodie 2 yard rush (Tommy Davis kick),0,7
1,1.0,Vikings,Fred Cox 41 yard field goal,3,7
2,2.0,49ers,Dave Parks 80 yard pass from John Brodie (Tommy Davis kick),3,14
3,2.0,Vikings,Tommy Mason 7 yard rush (Fred Cox kick),10,14
4,2.0,49ers,Tommy Davis 37 yard field goal,10,17
5,3.0,Vikings,Fred Cox 37 yard field goal,13,17
6,4.0,Vikings,Fran Tarkenton 8 yard rush (Fred Cox kick),20,17
7,4.0,Vikings,Carl Eller 45 yard defensive fumble return (Fred Cox kick),27,17
8,4.0,49ers,"Safety, 66-yard",27,19
9,4.0,49ers,Tommy Davis 47 yard field goal,27,22
