,Quarter,Time,Tm,Detail,LAR,SFO
0,1.0,3:24,49ers,Carlos Hyde 11 yard rush (Phil Dawson kick),0,7
1,2.0,8:16,49ers,Shaun Draughn 3 yard rush (Phil Dawson kick),0,14
2,4.0,12:07,49ers,Vance McDonald 8 yard pass from Blaine Gabbert (Phil Dawson kick),0,21
3,4.0,5:14,49ers,Carlos Hyde 1 yard rush (Phil Dawson kick),0,28
