,Quarter,Time,Tm,Detail,PHI,NOR
0,1.0,7:44,Saints,Jeff Blake 10 yard rush (Doug Brien kick),0,7
1,2.0,13:15,Eagles,Chad Lewis 16 yard pass from Donovan McNabb (David Akers kick),7,7
2,2.0,12:55,Eagles,Charles Johnson 21 yard pass from Donovan McNabb (David Akers kick),14,7
3,3.0,4:02,Eagles,Brian Mitchell 72 yard punt return (David Akers kick),21,7
