,Quarter,Tm,Detail,DAL,PHI
0,1.0,Cowboys,Roger Ruzek 23 yard field goal,3,0
1,1.0,Eagles,Paul McFadden 46 yard field goal,3,3
2,2.0,Eagles,Paul McFadden 45 yard field goal,3,6
3,2.0,Eagles,John Spagnola 10 yard pass from Randall Cunningham (Paul McFadden kick),3,13
4,2.0,Cowboys,Herschel Walker 1 yard rush (Roger Ruzek kick),10,13
5,3.0,Cowboys,Roger Ruzek 25 yard field goal,13,13
6,3.0,Eagles,Anthony Toney 1 yard rush (Paul McFadden kick),13,20
7,4.0,Eagles,Paul McFadden 21 yard field goal,13,23
8,4.0,Eagles,John Spagnola 5 yard pass from Randall Cunningham (Paul McFadden kick),13,30
9,4.0,Cowboys,Tony Dorsett 19 yard pass from Danny White (Roger Ruzek kick),20,30
10,4.0,Eagles,Keith Byars 1 yard rush (Paul McFadden kick),20,37
