,Quarter,Tm,Detail,PIT,HOU
0,2.0,Oilers,Al Del Greco 43 yard field goal,0,3
1,2.0,Steelers,Gary Anderson 42 yard field goal,3,3
2,2.0,Oilers,Gary Brown 3 yard rush (Al Del Greco kick),3,10
3,3.0,Oilers,Haywood Jeffires 66 yard pass from Warren Moon (Al Del Greco kick),3,17
4,3.0,Oilers,Al Del Greco 21 yard field goal,3,20
5,4.0,Oilers,Al Del Greco 28 yard field goal,3,23
