,Quarter,Tm,Detail,SFO,BAL
0,2.0,Colts,Lenny Moore 41 yard rush (Steve Myhra kick),0,7
1,2.0,49ers,Billy Wilson 19 yard pass from Y.A. Tittle (Gordie Soltau kick),7,7
2,2.0,49ers,Y.A. Tittle 1 yard rush (Gordie Soltau kick),14,7
3,2.0,Colts,L.G. Dupre 11 yard rush (Steve Myhra kick),14,14
4,3.0,Colts,Steve Myhra 16 yard field goal,14,17
5,3.0,Colts,Steve Myhra 15 yard field goal,14,20
6,4.0,49ers,Y.A. Tittle 1 yard rush (Gordie Soltau kick),21,20
7,4.0,Colts,Alan Ameche 8 yard pass from Johnny Unitas (Steve Myhra kick),21,27
