,Quarter,Tm,Detail,PIT,MIN
0,2.0,Steelers,"Safety, White downed Tarkenton in end zone",2,0
1,3.0,Steelers,Franco Harris 9 yard rush (Roy Gerela kick),9,0
2,4.0,Vikings,Terry Brown blocked punt recovery in end zone,9,6
3,4.0,Steelers,Larry Brown 4 yard pass from Terry Bradshaw (Roy Gerela kick),16,6
