,Quarter,Tm,Detail,NYY,DET
0,1.0,Lions,Doak Walker 19 yard field goal,0,3
1,2.0,Yanks,Buddy Young 48 yard pass from Bob Celeri (Harvey Johnson kick),7,3
2,2.0,Lions,Leon Hart 15 yard pass from Bobby Layne (Doak Walker kick),7,10
3,2.0,Yanks,Harvey Johnson 38 yard field goal,10,10
4,3.0,Lions,Pat Harder 9 yard rush (Doak Walker kick),10,17
5,3.0,Yanks,Zollie Toth 6 yard rush (Harvey Johnson kick),17,17
6,3.0,Lions,Leon Hart 16 yard pass from Bob Hoernschemeyer (Doak Walker kick),17,24
7,4.0,Yanks,Zollie Toth 1 yard rush (Harvey Johnson kick),24,24
