,Quarter,Tm,Detail,CHI,BAL
0,1.0,Bears,Bobby Watkins 6 yard pass from Ed Brown (George Blanda kick),7,0
1,2.0,Colts,Lenny Moore 5 yard pass from George Shaw (Bert Rechichar kick),7,7
2,2.0,Colts,Royce Womble 37 yard pass from George Shaw (Bert Rechichar kick),7,14
3,3.0,Colts,Alan Ameche 1 yard rush (Bert Rechichar kick),7,21
4,3.0,Colts,Alan Ameche 1 yard rush (Bert Rechichar kick),7,28
5,3.0,Bears,Perry Jeter 51 yard punt return (George Blanda kick),14,28
6,4.0,Bears,Harlon Hill 42 yard pass from Ed Brown (George Blanda kick),21,28
