,Quarter,Time,Tm,Detail,IND,BAL
0,1.0,8:04,Colts,Adam Vinatieri 23 yard field goal,3,0
1,1.0,5:36,Colts,Adam Vinatieri 42 yard field goal,6,0
2,2.0,14:56,Ravens,Matt Stover 40 yard field goal,6,3
3,2.0,3:15,Colts,Adam Vinatieri 51 yard field goal,9,3
4,3.0,10:57,Colts,Adam Vinatieri 48 yard field goal,12,3
5,4.0,13:03,Ravens,Matt Stover 51 yard field goal,12,6
6,4.0,0:23,Colts,Adam Vinatieri 35 yard field goal,15,6
