,Quarter,Time,Tm,Detail,ARI,SEA
0,1.0,10:43,Seahawks,Shaun Alexander 2 yard rush (Josh Brown kick),0,7
1,1.0,4:51,Seahawks,Darrell Jackson 49 yard pass from Matt Hasselbeck (Josh Brown kick),0,14
2,3.0,7:02,Cardinals,Neil Rackers 43 yard field goal,3,14
3,4.0,14:22,Seahawks,Mack Strong 3 yard rush (Josh Brown kick),3,21
4,4.0,11:20,Cardinals,Bryant Johnson 40 yard pass from Kurt Warner (Neil Rackers kick),10,21
