,Quarter,Tm,Detail,CIN,MIA
0,1.0,Dolphins,Mark Duper 7 yard pass from Dan Marino (Uwe von Schamann kick),0,7
1,2.0,Dolphins,Tony Nathan 1 yard rush (Uwe von Schamann kick),0,14
2,2.0,Bengals,Isaac Curtis 80 yard pass from Ken Anderson (Jim Breech kick),7,14
3,2.0,Dolphins,Uwe von Schamann 47 yard field goal,7,17
4,2.0,Bengals,Pete Johnson 1 yard rush (Jim Breech kick),14,17
5,3.0,Dolphins,Mark Duper 15 yard pass from Dan Marino (Uwe von Schamann kick),14,24
6,4.0,Dolphins,Dan Johnson 3 yard pass from Dan Marino (Uwe von Schamann kick),14,31
7,4.0,Dolphins,Andra Franklin 5 yard rush (Uwe von Schamann kick),14,38
