,Quarter,Tm,Detail,SEA,KAN
0,1.0,Seahawks,Sam McCullum 12 yard pass from Jim Zorn (Efren Herrera kick),7,0
1,2.0,Seahawks,Efren Herrera 19 yard field goal,10,0
2,2.0,Seahawks,Sherman Smith 7 yard pass from Jim Zorn (Efren Herrera kick),17,0
3,2.0,Chiefs,Henry Marshall 1 yard pass from Steve Fuller (Nick Lowery kick),17,7
4,3.0,Chiefs,Nick Lowery 50 yard field goal,17,10
5,3.0,Chiefs,Nick Lowery 23 yard field goal,17,13
6,4.0,Chiefs,Nick Lowery 57 yard field goal,17,16
