,Quarter,Tm,Detail,CIN,KAN
0,1.0,Bengals,Doug Pelfrey 23 yard field goal,3,0
1,2.0,Bengals,Doug Pelfrey 24 yard field goal,6,0
2,2.0,Bengals,Doug Pelfrey 42 yard field goal,9,0
3,2.0,Chiefs,Tim Barnett 8 yard pass from Dave Krieg (Nick Lowery kick),9,7
4,2.0,Bengals,Doug Pelfrey 47 yard field goal,12,7
5,3.0,Chiefs,Marcus Allen 9 yard rush (Nick Lowery kick),12,14
6,4.0,Bengals,Doug Pelfrey 34 yard field goal,15,14
7,4.0,Chiefs,Nick Lowery 37 yard field goal,15,17
