,Quarter,Time,Tm,Detail,DET,MIA
0,1.0,10:56,Lions,Dave Rayner 39 yard field goal,3,0
1,1.0,0:30,Dolphins,Dan Carpenter 40 yard field goal,3,3
2,2.0,12:17,Lions,Brandon Pettigrew 20 yard pass from Shaun Hill (Dave Rayner kick),10,3
3,2.0,6:13,Dolphins,Lousaka Polite 4 yard rush (Dan Carpenter kick),10,10
4,2.0,0:30,Dolphins,Davone Bess 13 yard pass from Chad Henne (Dan Carpenter kick),10,17
5,3.0,5:49,Lions,Maurice Morris 5 yard rush (Dave Rayner kick),17,17
6,3.0,0:05,Dolphins,Ronnie Brown 1 yard rush (Dan Carpenter kick),17,24
7,4.0,9:44,Dolphins,Dan Carpenter 28 yard field goal,17,27
8,4.0,4:37,Lions,Jahvid Best 53 yard pass from Shaun Hill (Dave Rayner kick),24,27
9,4.0,2:44,Lions,Dave Rayner 47 yard field goal,27,27
10,4.0,2:11,Lions,DeAndre Levy 30 yard interception return (Dave Rayner kick),34,27
