,Quarter,Time,Tm,Detail,SEA,PIT
0,1.0,13:52,Seahawks,Merton Hanks 23 yard interception return (Todd Peterson kick),7,0
1,1.0,11:40,Seahawks,Charlie Rogers 94 yard punt return (Todd Peterson kick),14,0
2,1.0,6:53,Seahawks,Todd Peterson 45 yard field goal,17,0
3,2.0,9:53,Seahawks,Todd Peterson 51 yard field goal,20,0
4,2.0,3:14,Seahawks,Todd Peterson 41 yard field goal,23,0
5,2.0,0:01,Seahawks,Todd Peterson 26 yard field goal,26,0
6,4.0,12:03,Steelers,Kris Brown 33 yard field goal,26,3
7,4.0,4:24,Seahawks,Todd Peterson 38 yard field goal,29,3
8,4.0,1:35,Steelers,Troy Edwards 16 yard pass from Mike Tomczak (Kris Brown kick),29,10
