,Quarter,Time,Tm,Detail,NYJ,IND
0,1.0,8:25,Colts,Marvin Harrison 6 yard pass from Peyton Manning (Mike Vanderjagt kick),0,7
1,2.0,14:17,Colts,Edgerrin James 2 yard rush (Mike Vanderjagt kick),0,14
2,2.0,0:05,Colts,Mike Vanderjagt 26 yard field goal,0,17
3,3.0,4:00,Colts,Mike Vanderjagt 38 yard field goal,0,20
4,3.0,0:05,Jets,Dedric Ward 16 yard pass from Vinny Testaverde (John Hall kick),7,20
5,4.0,10:57,Colts,Mike Vanderjagt 35 yard field goal,7,23
6,4.0,5:11,Jets,Curtis Martin 9 yard rush (Marcus Coleman pass from Vinny Testaverde),15,23
