,Quarter,Time,Tm,Detail,BUF,CHI
0,1.0,,Bills,Steve Christie 28 yard field goal,3,0
1,2.0,,Bears,Chris Gedney 13 yard pass from Steve Walsh (Kevin Butler kick),3,7
2,2.0,,Bills,Steve Christie 30 yard field goal,6,7
3,3.0,,Bears,Kevin Butler 50 yard field goal,6,10
4,3.0,,Bills,Pete Metzelaars 15 yard pass from Jim Kelly (Steve Christie kick),13,10
5,4.0,,Bears,Steve Walsh 1 yard rush (Kevin Butler kick),13,17
6,4.0,,Bears,Kevin Butler 20 yard field goal,13,20
