,Quarter,Tm,Detail,KAN,DAL
0,1.0,Chiefs,Nick Lowery 32 yard field goal,3,0
1,1.0,Cowboys,Daryl Johnston 2 yard pass from Troy Aikman (Lin Elliott kick),3,7
2,2.0,Cowboys,Emmitt Smith 2 yard rush (Lin Elliott kick),3,14
3,2.0,Chiefs,Barry Word 2 yard rush (Nick Lowery kick),10,14
4,3.0,Cowboys,Lin Elliott 39 yard field goal,10,17
