,Quarter,Tm,Detail,SDG,TAM
0,1.0,Chargers,Toni Fritsch 48 yard field goal,3,0
1,2.0,Chargers,Toni Fritsch 48 yard field goal,6,0
2,4.0,Chargers,Toni Fritsch 22 yard field goal,9,0
3,4.0,Chargers,Rickey Young 46 yard rush (Toni Fritsch kick),16,0
4,4.0,Chargers,Tom Hayes 37 yard interception return (Toni Fritsch kick),23,0
