,Quarter,Time,Tm,Detail,BUF,IND
0,1.0,,Bills,Bill Brooks 51 yard pass from Jim Kelly (Steve Christie kick),7,0
1,1.0,,Colts,Marshall Faulk 4 yard rush (Cary Blanchard kick),7,7
2,1.0,,Bills,Steve Christie 39 yard field goal,10,7
3,2.0,,Bills,Steve Christie 23 yard field goal,13,7
4,2.0,,Bills,Steve Christie 33 yard field goal,16,7
5,3.0,,Colts,Cary Blanchard 37 yard field goal,16,10
