,Quarter,Tm,Detail,NYJ,PIT
0,1.0,Jets,Jim Turner 17 yard field goal,3,0
1,1.0,Steelers,John Fuqua 1 yard rush (Gene Mingo kick),3,7
2,2.0,Steelers,Warren Bankston 12 yard rush (Gene Mingo kick),3,14
3,3.0,Jets,Chuck Mercein 15 yard pass from Al Woodall (Jim Turner kick),10,14
4,3.0,Steelers,John Fuqua 6 yard pass from Terry Hanratty (Gene Mingo kick),10,21
5,4.0,Jets,George Nock 1 yard rush (Jim Turner kick),17,21
