,Quarter,Tm,Detail,CHI,MIN
0,1.0,Bears,Gale Sayers 7 yard rush (Mac Percival kick),7,0
1,1.0,Bears,Dick Gordon 15 yard pass from Jack Concannon (Mac Percival kick),14,0
2,2.0,Bears,Mac Percival 43 yard field goal,17,0
3,2.0,Vikings,Fred Cox 45 yard field goal,17,3
4,2.0,Bears,Mac Percival 31 yard field goal,20,3
5,4.0,Vikings,Gene Washington 24 yard pass from Gary Cuozzo (Fred Cox kick),20,10
6,4.0,Vikings,Bill Brown 1 yard rush (Fred Cox kick),20,17
7,4.0,Bears,Ralph Kurek 23 yard rush (Mac Percival kick),27,17
