,Quarter,Time,Tm,Detail,GNB,NYJ
0,1,2:15,Jets,Elijah McGuire 4 yard rush (Jason Myers kick),0,7
1,2,9:02,Jets,Robby Anderson 33 yard pass from Sam Darnold (Jason Myers kick),0,14
2,2,5:06,Packers,Jake Kumerow 49 yard pass from Aaron Rodgers (Mason Crosby kick),7,14
3,2,4:54,Jets,Andre Roberts 99 yard kickoff return (Jason Myers kick),7,21
4,2,1:33,Packers,Jamaal Williams 7 yard rush (Mason Crosby kick),14,21
5,2,0:02,Packers,Mason Crosby 42 yard field goal,17,21
6,3,8:17,Packers,Mason Crosby 29 yard field goal,20,21
7,3,4:21,Jets,Chris Herndon 5 yard pass from Sam Darnold (Jason Myers kick),20,28
8,3,2:50,Jets,Elijah McGuire 20 yard pass from Sam Darnold (Jason Myers kick),20,35
9,4,11:45,Packers,Mason Crosby 38 yard field goal,23,35
10,4,6:32,Packers,Aaron Rodgers 1 yard rush (Mason Crosby kick),30,35
11,4,1:12,Packers,Aaron Rodgers 1 yard rush (Aaron Rodgers run),38,35
12,4,0:17,Jets,Jason Myers 33 yard field goal,38,38
13,OT,6:23,Packers,Davante Adams 16 yard pass from Aaron Rodgers,44,38
