,Quarter,Tm,Detail,MIN,GNB
0,1.0,Packers,Vince Workman 1 yard rush (Chris Jacke kick),0,7
1,1.0,Vikings,Cris Carter 29 yard pass from Rich Gannon (Fuad Reveiz kick),7,7
2,1.0,Packers,Charles Wilson 75 yard pass from Mike Tomczak (Chris Jacke kick),7,14
3,2.0,Vikings,Mike Jones 3 yard pass from Rich Gannon (Fuad Reveiz kick),14,14
4,2.0,Packers,Jackie Harris 1 yard pass from Mike Tomczak (Chris Jacke kick),14,21
5,3.0,Vikings,Cris Carter 17 yard pass from Rich Gannon (Fuad Reveiz kick),21,21
6,4.0,Vikings,Herschel Walker 5 yard rush (Fuad Reveiz kick),28,21
7,4.0,Vikings,Rich Gannon 5 yard rush (Fuad Reveiz kick),35,21
