,Quarter,Tm,Detail,WAS,NYG
0,1.0,Redskins,Clarence Harmon 20 yard pass from Joe Theismann,6,0
1,2.0,Giants,Mike Hogan 1 yard rush (Joe Danelo kick),6,7
2,2.0,Redskins,Joe Theismann 37 yard rush (Mark Moseley kick),13,7
3,2.0,Giants,Alvin Garrett 32 yard pass from Phil Simms (Joe Danelo kick),13,14
4,2.0,Redskins,Wilbur Jackson 2 yard rush (Mark Moseley kick),20,14
5,4.0,Giants,Tom Mullady 35 yard pass from Phil Simms (Joe Danelo kick),20,21
6,4.0,Redskins,Mark Moseley 45 yard field goal,23,21
