,Quarter,Tm,Detail,NWE,BAL
0,1.0,Colts,Roger Carr 22 yard pass from Bert Jones (Toni Linhart kick),0,7
1,1.0,Patriots,Al Chandler 2 yard pass from Steve Grogan (John Smith kick),7,7
2,2.0,Patriots,Steve Grogan 2 yard rush (John Smith kick),14,7
3,2.0,Colts,Don McCauley 3 yard rush (Toni Linhart kick),14,14
4,2.0,Patriots,Steve Grogan 3 yard rush (John Smith kick),21,14
