,Quarter,Time,Tm,Detail,ARI,SEA
0,1.0,,Seahawks,Todd Peterson 51 yard field goal,0,3
1,1.0,6:10,Seahawks,Willie Williams 28 yard interception return (Todd Peterson kick),0,10
2,2.0,6:10,Seahawks,Mack Strong 4 yard pass from Warren Moon (Todd Peterson kick),0,17
3,2.0,0:03,Seahawks,Todd Peterson 22 yard field goal,0,20
4,3.0,0:03,Cardinals,Adrian Murrell 4 yard rush (Joe Nedney kick),7,20
5,4.0,0:03,Seahawks,Joey Galloway 9 yard pass from Warren Moon (run failed),7,26
6,4.0,0:03,Seahawks,Shawn Springs 56 yard interception return (Todd Peterson kick),7,33
7,4.0,0:03,Cardinals,Chris Gedney 23 yard pass from Jake Plummer (Joe Nedney kick),14,33
