,Quarter,Time,Tm,Detail,PIT,NYG
0,2.0,12:09,Steelers,Emmanuel Sanders 4 yard pass from Ben Roethlisberger (Shaun Suisham kick),7,0
1,2.0,7:01,Giants,Andre Brown 1 yard rush (Lawrence Tynes kick),7,7
2,2.0,5:11,Giants,Michael Boley 70 yard defensive fumble return (Lawrence Tynes kick),7,14
3,2.0,0:00,Steelers,Shaun Suisham 30 yard field goal,10,14
4,3.0,8:25,Giants,Lawrence Tynes 50 yard field goal,10,17
5,3.0,1:32,Giants,Lawrence Tynes 23 yard field goal,10,20
6,4.0,14:05,Steelers,Mike Wallace 51 yard pass from Ben Roethlisberger (Shaun Suisham kick),17,20
7,4.0,4:02,Steelers,Isaac Redman 1 yard rush (Shaun Suisham kick),24,20
