,Quarter,Tm,Detail,NYG,TAM
0,1.0,Giants,Terry Jackson 32 yard interception return (Joe Danelo kick),7,0
1,1.0,Buccaneers,Jimmy DuBose 2 yard rush (Neil O'Donoghue kick),7,7
2,2.0,Buccaneers,Neil O'Donoghue 34 yard field goal,7,10
3,2.0,Giants,Joe Danelo 42 yard field goal,10,10
4,3.0,Giants,Johnny Perkins 67 yard pass from Joe Pisarcik,16,10
5,4.0,Buccaneers,Neil O'Donoghue 26 yard field goal,16,13
6,4.0,Giants,Joe Danelo 23 yard field goal,19,13
