,Quarter,Tm,Detail,CRD,RAM
0,1.0,Rams,Bob Waterfield 40 yard field goal,0,3
1,2.0,Rams,Fred Gehrke 9 yard rush (Bob Waterfield kick),0,10
2,2.0,Cardinals,Billy Dewell 51 yard pass from Paul Christman (Ward Cuff kick),7,10
3,2.0,Cardinals,Mal Kutner 29 yard pass from Ray Mallouf (Ward Cuff kick),14,10
4,4.0,Rams,Steve Pritko 28 yard pass from Bob Waterfield (Bob Waterfield kick),14,17
