,Quarter,Tm,Detail,PHO,DAL
0,1.0,Cowboys,Michael Irvin 87 yard pass from Troy Aikman (Lin Elliott kick),0,7
1,1.0,Cardinals,Randal Hill 34 yard pass from Chris Chandler (Greg Davis kick),7,7
2,1.0,Cowboys,Michael Irvin 41 yard pass from Troy Aikman (Lin Elliott kick),7,14
3,2.0,Cowboys,Emmitt Smith 1 yard rush (Lin Elliott kick),7,21
4,2.0,Cardinals,Greg Davis 22 yard field goal,10,21
5,3.0,Cowboys,Michael Irvin 4 yard pass from Troy Aikman (Lin Elliott kick),10,28
6,3.0,Cardinals,Greg Davis 42 yard field goal,13,28
7,4.0,Cowboys,Lin Elliott 29 yard field goal,13,31
8,4.0,Cardinals,Ivory Lee Brown 1 yard rush (Greg Davis kick),20,31
