,Quarter,Tm,Detail,CHI,STL
0,2.0,Cardinals,Jim Bakken 15 yard field goal,0,3
1,2.0,Bears,Earl Thomas 82 yard kickoff return (Mac Percival kick),7,3
2,2.0,Bears,George Farmer 73 yard pass from Bobby Douglass (Mac Percival kick),14,3
3,2.0,Bears,Mac Percival 12 yard field goal,17,3
4,3.0,Cardinals,Donny Anderson 7 yard pass from Tim Van Galder (Jim Bakken kick),17,10
5,4.0,Bears,Bobby Douglass 5 yard rush (Mac Percival kick),24,10
6,4.0,Bears,Mac Percival 32 yard field goal,27,10
