,Quarter,Tm,Detail,MIN,TAM
0,1.0,Buccaneers,Donald Igwebuike 18 yard field goal,0,3
1,1.0,Vikings,Steve Jordan 4 yard pass from Wade Wilson (Chuck Nelson kick),7,3
2,1.0,Buccaneers,Bruce Hill 8 yard pass from Vinny Testaverde (Donald Igwebuike kick),7,10
3,2.0,Vikings,Rick Fenney 1 yard rush (Chuck Nelson kick),14,10
4,2.0,Vikings,Anthony Carter 26 yard pass from Wade Wilson (Chuck Nelson kick),21,10
5,2.0,Vikings,Steve Jordan 4 yard pass from Wade Wilson (Chuck Nelson kick),28,10
6,3.0,Buccaneers,Donald Igwebuike 32 yard field goal,28,13
7,3.0,Vikings,Brad Edwards 37 yard interception return (Chuck Nelson kick),35,13
8,4.0,Vikings,Allen Rice 4 yard rush (Chuck Nelson kick),42,13
9,4.0,Buccaneers,Lars Tate 1 yard rush (Donald Igwebuike kick),42,20
10,4.0,Vikings,D.J. Dozier 2 yard rush (Chuck Nelson kick),49,20
