,Quarter,Tm,Detail,DAL,ATL
0,2.0,Falcons,Tracy Johnson 1 yard rush (Greg Davis kick),0,7
1,3.0,Falcons,Keith Jones 76 yard kickoff return (Greg Davis kick),0,14
2,3.0,Falcons,"Safety, Green tackled Smith in end zone",0,16
3,4.0,Falcons,Greg Davis 23 yard field goal,0,19
4,4.0,Falcons,Deion Sanders 61 yard interception return (Greg Davis kick),0,26
5,4.0,Cowboys,Jay Novacek 27 yard pass from Babe Laufenberg (Ken Willis kick),7,26
