,Quarter,Tm,Detail,TAM,CHI
0,1,Bears,Brad Muster 1 yard rush,0,6
1,2,Bears,Mark Green 2 yard rush (Kevin Butler kick),0,13
2,3,Bears,Mark Green 1 yard rush (Kevin Butler kick),0,20
3,4,Bears,Johnny Bailey 1 yard rush (Kevin Butler kick),0,27
