,Quarter,Tm,Detail,NWE,CIN
0,1.0,Patriots,Michael Timpson 60 yard pass from Hugh Millen (Charlie Baumann kick),7,0
1,1.0,Bengals,Rodney Holman 21 yard pass from Boomer Esiason (Jim Breech kick),7,7
2,2.0,Bengals,Tim McGee 12 yard pass from Boomer Esiason (Jim Breech kick),7,14
3,2.0,Bengals,James Brooks 36 yard pass from Boomer Esiason (Jim Breech kick),7,21
4,4.0,Bengals,Jim Breech 49 yard field goal,7,24
5,4.0,Bengals,Jim Breech 25 yard field goal,7,27
6,4.0,Bengals,"Safety, Gordon tackled Millen in end zone",7,29
