,Quarter,Tm,Detail,PIT,HOU
0,2,Steelers,Lynn Swann 21 yard pass from Terry Bradshaw (Roy Gerela kick),7,0
1,3,Steelers,Franco Harris 11 yard rush (Roy Gerela kick),14,0
2,4,Steelers,Terry Bradshaw 1 yard rush (Roy Gerela kick),21,0
