,Quarter,Tm,Detail,SFO,MIN
0,1.0,49ers,Ray Wersching 38 yard field goal,3,0
1,1.0,49ers,Dwight Clark 21 yard pass from Joe Montana (Ray Wersching kick),10,0
2,1.0,Vikings,Ted Brown 1 yard rush (Benny Ricardo kick),10,7
3,1.0,49ers,Ray Wersching 32 yard field goal,13,7
4,2.0,49ers,Earl Cooper 2 yard pass from Joe Montana (Ray Wersching kick),20,7
5,2.0,49ers,Eric Wright 60 yard interception return (Ray Wersching kick),27,7
6,2.0,49ers,Freddie Solomon 14 yard pass from Joe Montana (Ray Wersching kick),34,7
7,2.0,49ers,Wendell Tyler 6 yard pass from Joe Montana (Ray Wersching kick),41,7
8,2.0,Vikings,Benny Ricardo 32 yard field goal,41,10
9,3.0,Vikings,Terry LeCount 30 yard pass from Tommy Kramer (Benny Ricardo kick),41,17
10,4.0,49ers,Roger Craig 1 yard rush (Ray Wersching kick),48,17
