,Quarter,Tm,Detail,CRD,NYY
0,1.0,Yankees,Eddie Tryon 6 yard rush (Eddie Tryon kick),0,7
1,2.0,Yankees,Eddie Tryon unknown yard pass from Wild Bill Kelly (Eddie Tryon kick),0,14
2,4.0,Yankees,Ray Flaherty unknown yard pass from Wild Bill Kelly,0,20
3,4.0,Cardinals,Roddy Lamb 2 yard rush,6,20
