,Quarter,Tm,Detail,RAM,TAM
0,2.0,Rams,Frank Corral 43 yard field goal,3,0
1,2.0,Buccaneers,Garo Yepremian 43 yard field goal,3,3
2,3.0,Rams,Frank Corral 32 yard field goal,6,3
3,4.0,Rams,Frank Corral 27 yard field goal,9,3
4,4.0,Buccaneers,Doug Williams 1 yard rush (Garo Yepremian kick),9,10
