,Quarter,Time,Tm,Detail,DAL,NYG
0,2.0,10:00,Giants,Brandon Jacobs 1 yard rush (Jay Feely kick),0,7
1,2.0,1:58,Giants,Jay Feely 27 yard field goal,0,10
2,3.0,14:48,Giants,Antonio Pierce 12 yard defensive fumble return (Jay Feely kick),0,17
3,3.0,10:03,Cowboys,Billy Cundiff 34 yard field goal,3,17
4,3.0,3:52,Cowboys,Terry Glenn 7 yard pass from Drew Bledsoe (Billy Cundiff kick),10,17
