,Quarter,Time,Tm,Detail,ARI,GNB
0,1.0,7:38,Packers,Bill Schroeder 10 yard pass from Brett Favre (Ryan Longwell kick),0,7
1,2.0,13:48,Cardinals,Chris Jacke 23 yard field goal,3,7
2,2.0,5:59,Packers,Dorsey Levens 8 yard rush (Ryan Longwell kick),3,14
3,3.0,5:57,Packers,Dorsey Levens 1 yard rush (Ryan Longwell kick),3,21
4,3.0,1:49,Cardinals,Frank Sanders 6 yard pass from Jake Plummer (Chris Jacke kick),10,21
5,3.0,1:32,Packers,Basil Mitchell 88 yard kickoff return (Ryan Longwell kick),10,28
6,4.0,12:09,Packers,Dorsey Levens 5 yard rush (Ryan Longwell kick),10,35
7,4.0,9:29,Cardinals,Mario Bates 1 yard rush (Chris Jacke kick),17,35
8,4.0,2:38,Packers,Bill Schroeder 32 yard pass from Brett Favre (Ryan Longwell kick),17,42
9,4.0,1:31,Cardinals,Mac Cody 9 yard pass from Jake Plummer (Chris Jacke kick),24,42
10,4.0,0:58,Packers,Dorsey Levens 1 yard rush (Ryan Longwell kick),24,49
