,Quarter,Tm,Detail,RAM,PIT
0,1,Rams,Jim Benton 28 yard pass from Bob Snyder (Bob Snyder kick),7,0
1,3,Rams,Jim Benton 11 yard pass from Bob Snyder,13,0
2,4,Pirates,Bill Sortet 8 yard pass from Whizzer White (Armand Niccolai kick),13,7
