,Quarter,Tm,Detail,PHI,NOR
0,1.0,Saints,Morten Andersen 40 yard field goal,0,3
1,1.0,Saints,Eugene Goodlow 31 yard pass from Dave Wilson (Morten Andersen kick),0,10
2,2.0,Saints,Morten Andersen 33 yard field goal,0,13
3,2.0,Saints,Johnnie Poe 40 yard interception return (Morten Andersen kick),0,20
4,2.0,Eagles,John Spagnola 7 yard pass from Ron Jaworski (Paul McFadden kick),7,20
5,4.0,Eagles,John Spagnola 14 yard pass from Ron Jaworski (Paul McFadden kick),14,20
6,4.0,Saints,Morten Andersen 43 yard field goal,14,23
7,4.0,Eagles,Mike Quick 20 yard pass from Ron Jaworski (Paul McFadden kick),21,23
