,Quarter,Time,Tm,Detail,ARI,STL
0,2.0,13:54,Cardinals,Jay Feely 22 yard field goal,3,0
1,2.0,5:28,Rams,Josh Brown 46 yard field goal,3,3
2,2.0,2:54,Cardinals,Tim Hightower 1 yard rush (Jay Feely kick),10,3
3,2.0,0:00,Rams,Laurent Robinson 1 yard pass from Sam Bradford (Josh Brown kick),10,10
4,3.0,8:28,Rams,Josh Brown 25 yard field goal,10,13
5,4.0,6:13,Cardinals,Larry Fitzgerald 21 yard pass from Derek Anderson (Jay Feely kick),17,13
