,Quarter,Time,Tm,Detail,TAM,CHI
0,1.0,,Bears,Jeff Jaeger 27 yard field goal,0,3
1,2.0,10:10,Buccaneers,Dave Moore 17 yard pass from Trent Dilfer (Michael Husted kick),7,3
2,2.0,10:10,Bears,Jeff Jaeger 23 yard field goal,7,6
3,2.0,10:10,Buccaneers,Michael Husted 45 yard field goal,10,6
4,3.0,10:10,Bears,Raymont Harris 1 yard rush (Jeff Jaeger kick),10,13
