,Quarter,Tm,Detail,DEN,CLE
0,1.0,Broncos,David Treadwell 23 yard field goal,3,0
1,3.0,Broncos,David Treadwell 44 yard field goal,6,0
2,4.0,Broncos,David Treadwell 32 yard field goal,9,0
3,4.0,Broncos,David Treadwell 20 yard field goal,12,0
