,Quarter,Tm,Detail,WAS,BKN
0,1.0,Redskins,Sammy Baugh 1 yard rush (Riley Smith kick),7,0
1,3.0,Redskins,Don Irwin 1 yard rush (Riley Smith kick),14,0
2,3.0,Redskins,Eddie Kahn 10 yard fumble return (Riley Smith kick),21,0
