,Quarter,Time,Tm,Detail,MIA,PIT
0,1.0,10:58,Dolphins,Albert Wilson 5 yard pass from Ryan Fitzpatrick (Jason Sanders kick),7,0
1,1.0,1:41,Dolphins,Allen Hurns 12 yard pass from Ryan Fitzpatrick (Jason Sanders kick),14,0
2,2.0,2:49,Steelers,Chris Boswell 42 yard field goal,14,3
3,2.0,0:26,Steelers,Diontae Johnson 45 yard pass from Mason Rudolph (Chris Boswell kick),14,10
4,3.0,3:23,Steelers,JuJu Smith-Schuster 26 yard pass from Mason Rudolph (Chris Boswell kick),14,17
5,4.0,12:05,Steelers,James Conner 9 yard rush (Chris Boswell kick),14,24
6,4.0,5:37,Steelers,Chris Boswell 41 yard field goal,14,27
