,Quarter,Time,Tm,Detail,GNB,BUF
0,2.0,0:44,Bills,Jeremy McDaniel 6 yard pass from Rob Johnson (Steve Christie kick),0,7
1,2.0,0:00,Bills,Steve Christie 45 yard field goal,0,10
2,3.0,11:58,Bills,Jay Riemersma 6 yard pass from Rob Johnson (Steve Christie kick),0,17
3,3.0,7:53,Packers,Antonio Freeman 7 yard pass from Brett Favre (Ryan Longwell kick),7,17
4,3.0,4:42,Bills,Steve Christie 20 yard field goal,7,20
5,3.0,0:40,Packers,Ryan Longwell 24 yard field goal,10,20
6,4.0,11:45,Bills,Jay Riemersma 14 yard pass from Rob Johnson (Steve Christie kick),10,27
7,4.0,0:35,Packers,Antonio Freeman 18 yard pass from Brett Favre (Tyrone Davis pass from Brett Favre ),18,27
