,Quarter,Tm,Detail,CLE,NOR
0,1.0,Browns,Cleo Miller 1 yard rush (Don Cockroft kick),7,0
1,2.0,Browns,Larry Collins 3 yard rush (Don Cockroft kick),14,0
2,2.0,Saints,Rich Mauti 16 yard pass from Archie Manning,14,6
3,2.0,Saints,Rich Szaro 20 yard field goal,14,9
4,3.0,Browns,Ozzie Newsome 14 yard pass from Brian Sipe (Don Cockroft kick),21,9
5,4.0,Browns,Don Cockroft 40 yard field goal,24,9
6,4.0,Saints,Archie Manning 1 yard rush (Rich Szaro kick),24,16
