,Quarter,Tm,Detail,CRD,CHI
0,1.0,Bears,Sid Luckman 1 yard rush,0,6
1,1.0,Bears,Ken Kavanaugh 16 yard pass from Sid Luckman (Bob Snyder kick),0,13
2,1.0,Bears,George McAfee 59 yard rush (Lee Artoe kick),0,20
3,2.0,Bears,Bob Nowaskey 40 yard pass from Young Bussey,0,26
4,2.0,Bears,Ken Kavanaugh 38 yard pass from Young Bussey (Hal Lahar kick),0,33
5,3.0,Bears,John Siegal 45 yard pass from Sid Luckman (Joe Maniaci kick),0,40
6,3.0,Bears,George McAfee 74 yard punt return (Lee Artoe kick),0,47
7,4.0,Cardinals,Johnny Martin 18 yard rush (Bill Daddio kick),7,47
8,4.0,Bears,Bob Swisher 53 yard pass from Ray Nolting,7,53
