,Quarter,Tm,Detail,CLE,STL
0,1.0,Cardinals,Bobby Joe Conrad 28 yard pass from Jim Hart (Jim Bakken kick),0,7
1,1.0,Browns,Don Cockroft 50 yard field goal,3,7
2,2.0,Cardinals,Jim Bakken 33 yard field goal,3,10
3,2.0,Browns,Don Cockroft 16 yard field goal,6,10
4,2.0,Cardinals,Jim Bakken 37 yard field goal,6,13
5,3.0,Browns,Leroy Kelly 45 yard rush (Don Cockroft kick),13,13
6,3.0,Cardinals,Bobby Joe Conrad 20 yard pass from Jim Hart (Jim Bakken kick),13,20
7,4.0,Browns,Don Cockroft 15 yard field goal,16,20
8,4.0,Cardinals,Jackie Smith 36 yard rush (Jim Bakken kick),16,27
