,Quarter,Time,Tm,Detail,CIN,JAX
0,1.0,7:14,Jaguars,Keenan McCardell 21 yard pass from Mark Brunell (Steve Lindsey kick),0,7
1,1.0,5:37,Jaguars,Steve Lindsey 30 yard field goal,0,10
2,4.0,1:45,Jaguars,Steve Lindsey 19 yard field goal,0,13
