,Quarter,Tm,Detail,GNB,MIN
0,1,Vikings,Ahmad Rashad 4 yard pass from Tommy Kramer (Rick Danmeier kick),0,7
1,2,Packers,James Lofton 20 yard pass from David Whitehurst (Chester Marcol kick),7,7
2,2,Packers,Barty Smith 1 yard rush (Chester Marcol kick),14,7
3,3,Vikings,Robert Miller 3 yard rush (Rick Danmeier kick),14,14
4,4,Packers,Terdell Middleton 5 yard rush (Chester Marcol kick),21,14
5,4,Vikings,Rickey Young 7 yard rush (Rick Danmeier kick),21,21
6,OT,Vikings,Ahmad Rashad 50 yard pass from Tommy Kramer,21,27
