,Quarter,Tm,Detail,BUF,RAM
0,2.0,Bills,Ahmad Rashad offensive fumble recovery in end zone (John Leypoldt kick),7,0
1,3.0,Rams,Rob Scribner 14 yard pass from James Harris (Mike Burke kick),7,7
2,3.0,Rams,James Harris 1 yard rush,7,13
3,4.0,Rams,Ron Jaworski 1 yard rush,7,19
4,4.0,Bills,J.D. Hill 55 yard pass from Joe Ferguson (John Leypoldt kick),14,19
