,Quarter,Tm,Detail,DEN,DAL
0,1.0,Cowboys,Tony Dorsett 3 yard rush (Efren Herrera kick),0,7
1,1.0,Cowboys,Efren Herrera 35 yard field goal,0,10
2,2.0,Cowboys,Efren Herrera 43 yard field goal,0,13
3,3.0,Broncos,Jim Turner 47 yard field goal,3,13
4,3.0,Cowboys,Butch Johnson 45 yard pass from Roger Staubach (Efren Herrera kick),3,20
5,3.0,Broncos,Rob Lytle 1 yard rush (Jim Turner kick),10,20
6,4.0,Cowboys,Golden Richards 29 yard pass from Robert Newhouse (Efren Herrera kick),10,27
