,Quarter,Tm,Detail,CHI,NYG
0,1.0,Bears,Gary Famiglietti 2 yard rush (Jack Manders kick),7,0
1,2.0,Bears,Ray McLean 13 yard pass from Sid Luckman (Jack Manders kick),14,0
2,2.0,Bears,Harry Clarke 3 yard rush (Bernie Masterson kick),21,0
3,2.0,Bears,Harry Clarke 21 yard interception return,27,0
4,2.0,Bears,Lee Artoe 52 yard field goal,30,0
5,2.0,Giants,Walt Nielsen 1 yard rush (Ward Cuff kick),30,7
6,3.0,Giants,Jim Lee Howell 11 yard pass from Eddie Miller (Ward Cuff kick),30,14
7,3.0,Giants,Jim Poole 11 yard pass from Eddie Miller (Ward Cuff kick),30,21
8,3.0,Bears,Ray McLean unknown yard pass from Sid Luckman (Jack Manders kick),37,21
